pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 53.92, 0, 0
00000000:0F:00.0, 54.85, 0, 0
00000000:0F:00.0, 54.79, 0, 0
00000000:0F:00.0, 58.07, 1, 38819
00000000:0F:00.0, 59.54, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 63.91, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 65.04, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 63.36, 0, 38819
00000000:0F:00.0, 63.36, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 63.91, 0, 38819
00000000:0F:00.0, 64.78, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 58.28, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 65.04, 0, 38819
00000000:0F:00.0, 65.64, 0, 38891
00000000:0F:00.0, 57.68, 0, 39239
00000000:0F:00.0, 58.01, 5, 39455
00000000:0F:00.0, 57.68, 18, 39631
00000000:0F:00.0, 350.32, 98, 39639
00000000:0F:00.0, 346.24, 86, 39667
00000000:0F:00.0, 108.39, 87, 39719
00000000:0F:00.0, 108.98, 84, 39719
00000000:0F:00.0, 399.45, 83, 39719
00000000:0F:00.0, 366.47, 100, 39719
00000000:0F:00.0, 323.18, 0, 39719
00000000:0F:00.0, 387.28, 100, 39719
00000000:0F:00.0, 76.24, 54, 39719
00000000:0F:00.0, 377.04, 100, 39719
00000000:0F:00.0, 357.70, 100, 39719
00000000:0F:00.0, 78.86, 46, 39719
00000000:0F:00.0, 291.56, 81, 39719
00000000:0F:00.0, 350.17, 100, 39719
00000000:0F:00.0, 74.85, 81, 39719
00000000:0F:00.0, 389.75, 100, 39719
00000000:0F:00.0, 343.73, 100, 39719
00000000:0F:00.0, 227.03, 0, 39719
00000000:0F:00.0, 378.90, 100, 39719
00000000:0F:00.0, 368.05, 98, 39719
00000000:0F:00.0, 75.17, 0, 39719
00000000:0F:00.0, 74.24, 0, 39719
00000000:0F:00.0, 59.27, 0, 39719
00000000:0F:00.0, 58.73, 0, 39719
00000000:0F:00.0, 58.73, 0, 39719
