pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 52.50, 0, 0
00000000:15:00.0, 55.82, 0, 0
00000000:51:00.0, 55.99, 0, 0
00000000:54:00.0, 57.58, 0, 0
00000000:0F:00.0, 55.94, 0, 0
00000000:15:00.0, 51.74, 0, 0
00000000:51:00.0, 53.37, 0, 0
00000000:54:00.0, 56.11, 0, 0
00000000:0F:00.0, 52.50, 0, 2
00000000:15:00.0, 52.01, 0, 2
00000000:51:00.0, 52.50, 0, 2
00000000:54:00.0, 54.96, 0, 2
00000000:0F:00.0, 57.74, 0, 413
00000000:15:00.0, 57.29, 0, 413
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 61.14, 3, 75
00000000:0F:00.0, 57.68, 0, 523
00000000:15:00.0, 57.29, 0, 413
00000000:51:00.0, 60.41, 0, 413
00000000:54:00.0, 66.39, 0, 413
00000000:0F:00.0, 57.68, 0, 603
00000000:15:00.0, 63.16, 0, 603
00000000:51:00.0, 57.47, 0, 603
00000000:54:00.0, 66.72, 0, 455
00000000:0F:00.0, 57.68, 1, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 66.92, 0, 38819
00000000:0F:00.0, 57.68, 1, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:51:00.0, 65.71, 0, 38819
00000000:54:00.0, 69.27, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 59.94, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 66.99, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 66.65, 0, 38819
00000000:0F:00.0, 62.37, 0, 38819
00000000:15:00.0, 62.57, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 61.41, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 75.97, 0, 38819
00000000:54:00.0, 75.71, 0, 38819
00000000:0F:00.0, 60.63, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 64.50, 0, 38819
00000000:54:00.0, 59.88, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 61.02, 0, 38819
00000000:54:00.0, 65.77, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 66.39, 0, 38819
00000000:0F:00.0, 58.61, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 61.69, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 57.29, 0, 38819
00000000:51:00.0, 57.47, 0, 38819
00000000:54:00.0, 59.94, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:15:00.0, 62.90, 0, 38819
00000000:51:00.0, 57.53, 0, 38819
00000000:54:00.0, 59.94, 0, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:15:00.0, 62.50, 0, 38819
