pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 53.59, 0, 0
00000000:0F:00.0, 54.46, 0, 0
00000000:0F:00.0, 54.46, 0, 0
00000000:0F:00.0, 57.41, 7, 38819
00000000:0F:00.0, 63.84, 0, 38819
00000000:0F:00.0, 64.50, 0, 38819
00000000:0F:00.0, 67.06, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:0F:00.0, 60.69, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:0F:00.0, 64.50, 0, 38819
00000000:0F:00.0, 64.78, 0, 38819
00000000:0F:00.0, 63.64, 0, 38819
00000000:0F:00.0, 58.34, 0, 38819
00000000:0F:00.0, 61.02, 0, 38819
00000000:0F:00.0, 65.04, 0, 38819
00000000:0F:00.0, 65.04, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:0F:00.0, 64.44, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 64.44, 0, 38819
00000000:0F:00.0, 58.28, 0, 38819
00000000:0F:00.0, 64.44, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 64.72, 0, 38819
00000000:0F:00.0, 57.41, 3, 39171
00000000:0F:00.0, 57.41, 0, 39179
00000000:0F:00.0, 57.41, 4, 39635
00000000:0F:00.0, 450.18, 15, 39639
00000000:0F:00.0, 397.98, 49, 39667
00000000:0F:00.0, 72.07, 0, 39667
00000000:0F:00.0, 254.66, 94, 39719
00000000:0F:00.0, 177.56, 99, 39719
00000000:0F:00.0, 244.40, 87, 39719
00000000:0F:00.0, 244.43, 100, 39719
00000000:0F:00.0, 224.22, 100, 39719
00000000:0F:00.0, 72.34, 0, 39719
00000000:0F:00.0, 242.96, 100, 39719
00000000:0F:00.0, 210.44, 93, 39719
00000000:0F:00.0, 238.27, 100, 39719
00000000:0F:00.0, 230.37, 0, 39719
00000000:0F:00.0, 227.43, 100, 39719
00000000:0F:00.0, 214.58, 100, 39719
00000000:0F:00.0, 73.54, 0, 39719
00000000:0F:00.0, 209.57, 72, 39719
00000000:0F:00.0, 232.12, 97, 39719
00000000:0F:00.0, 92.30, 57, 39719
00000000:0F:00.0, 151.62, 100, 39719
00000000:0F:00.0, 238.87, 100, 39719
00000000:0F:00.0, 190.16, 98, 39719
00000000:0F:00.0, 73.54, 0, 39719
00000000:0F:00.0, 241.21, 98, 39719
00000000:0F:00.0, 249.98, 100, 39719
00000000:0F:00.0, 74.16, 100, 39719
00000000:0F:00.0, 59.15, 0, 39719
00000000:0F:00.0, 59.15, 0, 39719
00000000:0F:00.0, 58.01, 0, 39719
